127.0.0.1 - - [29/Jun/2021:10:23:51 +0900] "GET / HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:23:57 +0900] "GET /common/images/InfoImg/foodMain.png HTTP/1.1" 200 191833
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:23:57 +0900] "GET /food/jquery-1.11.3.min.js HTTP/1.1" 200 95962
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:23:57 +0900] "GET /food/star.js HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:23:57 +0900] "GET /common/images/InfoImg/trafficMain.png HTTP/1.1" 200 127252
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:23:57 +0900] "GET /common/images/InfoImg/guideMain.png HTTP/1.1" 200 76497
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:23:57 +0900] "GET /common//images/FoodImg/011_01.jpg HTTP/1.1" 200 162034
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:23:57 +0900] "GET /common//images/FoodImg/012_01.jpg HTTP/1.1" 200 74108
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:23:57 +0900] "GET /common//images/FoodImg/007_01.jpg HTTP/1.1" 200 139881
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:23:57 +0900] "GET /common//images/FoodImg/008_01.jpg HTTP/1.1" 200 175942
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:23:57 +0900] "GET /common//images/FoodImg/005_01.jpg HTTP/1.1" 200 268602
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:23:57 +0900] "GET /common//images/FoodImg/006_01.jpg HTTP/1.1" 200 64192
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:23:57 +0900] "GET /common//images/FoodImg/009_01.jpg HTTP/1.1" 200 195613
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:23:57 +0900] "GET /common//images/FoodImg/010_01.jpg HTTP/1.1" 200 296316
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:23:57 +0900] "GET /common//images/FoodImg/004_01.jpg HTTP/1.1" 200 175861
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:24:03 +0900] "GET /food_list.food?keyword=null&all=on&chk=KFR&chk=CFR&chk=KJFR&chk=JFR&chk=WTF&chk=CF HTTP/1.1" 200 11864
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:26:57 +0900] "GET /food_list.food?keyword=null&all=on&chk=KFR&chk=CFR&chk=KJFR&chk=JFR&chk=WTF&chk=CF HTTP/1.1" 200 11864
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:26:59 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:27:00 +0900] "GET /food_list.food HTTP/1.1" 200 19356
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:27:34 +0900] "GET /food_list.food?keyword=null&all=on&chk=KFR&chk=CFR&chk=KJFR&chk=JFR&chk=WTF&chk=CF HTTP/1.1" 200 11864
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:31:33 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:31:35 +0900] "GET /food_list.food HTTP/1.1" 200 19356
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:35:03 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:35:06 +0900] "GET /hotel_list.hotel HTTP/1.1" 200 9116
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:35:06 +0900] "GET /jejurisong/common/images/HotelImg/btn_login14.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:36:29 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:36:31 +0900] "GET /food_list.food HTTP/1.1" 200 19356
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:37:15 +0900] "GET /food_list.food HTTP/1.1" 200 19341
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:37:16 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:37:17 +0900] "GET /food_list.food HTTP/1.1" 200 19341
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:37:26 +0900] "GET /food_list.food HTTP/1.1" 200 19341
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:37:26 +0900] "GET /food_list.food HTTP/1.1" 200 19341
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:37:48 +0900] "GET /food_list.food HTTP/1.1" 200 19341
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:37:49 +0900] "GET /food_list.food HTTP/1.1" 200 19341
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:37:49 +0900] "GET /food_list.food HTTP/1.1" 200 19341
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:38:04 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:38:05 +0900] "GET /food_list.food HTTP/1.1" 200 19354
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:38:07 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:38:08 +0900] "GET /food_list.food HTTP/1.1" 200 19354
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:38:09 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:38:09 +0900] "GET /food_list.food HTTP/1.1" 200 19354
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:38:11 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:38:11 +0900] "GET /food_list.food HTTP/1.1" 200 19354
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:38:12 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:38:13 +0900] "GET /food_list.food HTTP/1.1" 200 19354
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:38:14 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:38:15 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:38:16 +0900] "GET /food_list.food HTTP/1.1" 200 19354
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:39:58 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:39:59 +0900] "GET /food_list.food HTTP/1.1" 200 19328
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:43:26 +0900] "GET /food_list.food HTTP/1.1" 200 19344
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:43:27 +0900] "GET /food_list.food HTTP/1.1" 200 19344
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:43:28 +0900] "GET /food_list.food HTTP/1.1" 200 19344
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:43:30 +0900] "GET /food_list.food HTTP/1.1" 200 19344
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:43:31 +0900] "GET /food_list.food HTTP/1.1" 200 19344
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:43:32 +0900] "GET /food_list.food HTTP/1.1" 200 19344
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:43:33 +0900] "GET /food_list.food HTTP/1.1" 200 19344
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:44:02 +0900] "GET /food_list.food HTTP/1.1" 200 19361
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:44:04 +0900] "GET /food_list.food HTTP/1.1" 200 19361
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:44:05 +0900] "GET /food_list.food HTTP/1.1" 200 19361
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:44:06 +0900] "GET /food_list.food HTTP/1.1" 200 19361
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:44:07 +0900] "GET /food_list.food HTTP/1.1" 200 19361
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:45:09 +0900] "GET /food_list.food HTTP/1.1" 200 19364
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:46:03 +0900] "GET /food_list.food HTTP/1.1" 200 19389
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:46:18 +0900] "GET /food_list.food HTTP/1.1" 200 19389
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:46:19 +0900] "GET /food_list.food HTTP/1.1" 200 19389
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:47:19 +0900] "GET /food_list.food HTTP/1.1" 200 19412
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:47:35 +0900] "GET /food_list.food HTTP/1.1" 200 19412
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:49:41 +0900] "GET /food_list.food HTTP/1.1" 200 19529
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:50:02 +0900] "GET /food_list.food HTTP/1.1" 200 19532
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:51:02 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:51:03 +0900] "GET /food_list.food HTTP/1.1" 200 19532
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:51:55 +0900] "GET /food_list.food HTTP/1.1" 200 19544
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:52:45 +0900] "GET /food_list.food HTTP/1.1" 200 19544
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:53:32 +0900] "GET /food_list.food HTTP/1.1" 200 19614
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:53:48 +0900] "GET /food_list.food HTTP/1.1" 200 19614
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:54:00 +0900] "GET /food_list.food HTTP/1.1" 200 19614
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:54:06 +0900] "GET /food_list.food HTTP/1.1" 200 19614
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:56:44 +0900] "GET /food_list.food HTTP/1.1" 200 19614
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:56:56 +0900] "GET /food_list.food HTTP/1.1" 200 19614
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:58:46 +0900] "GET /food_list.food HTTP/1.1" 200 19630
0:0:0:0:0:0:0:1 - - [29/Jun/2021:10:59:44 +0900] "GET /guide_info.info HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:01:00 +0900] "GET /food_list.food HTTP/1.1" 200 19602
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:01:32 +0900] "GET /food_list.food HTTP/1.1" 200 19602
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:01:37 +0900] "GET /food_list.food HTTP/1.1" 200 19602
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:02:34 +0900] "GET /food_view.food?cpage=1&keyword=&id=F0011&ord=coded&psize=9 HTTP/1.1" 200 6747
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:02:34 +0900] "GET /common/images/FoodImg/011_01.jpg HTTP/1.1" 200 162034
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:04:57 +0900] "GET /food_view.food?cpage=1&keyword=&id=F0011&ord=coded&psize=9 HTTP/1.1" 200 6775
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:05:40 +0900] "GET /food_view.food?cpage=1&keyword=&id=F0011&ord=coded&psize=9 HTTP/1.1" 200 6816
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:05:41 +0900] "GET /food_view.food?cpage=1&keyword=&id=F0011&ord=coded&psize=9 HTTP/1.1" 200 6816
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:05:42 +0900] "GET /food_view.food?cpage=1&keyword=&id=F0011&ord=coded&psize=9 HTTP/1.1" 200 6816
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:07:31 +0900] "GET /food_view.food?cpage=1&keyword=&id=F0011&ord=coded&psize=9 HTTP/1.1" 200 6798
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:07:32 +0900] "GET /food_view.food?cpage=1&keyword=&id=F0011&ord=coded&psize=9 HTTP/1.1" 200 6798
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:07:33 +0900] "GET /food_view.food?cpage=1&keyword=&id=F0011&ord=coded&psize=9 HTTP/1.1" 200 6798
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:07:58 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:08:42 +0900] "GET /mvcSite/index.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:08:48 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:22 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//css/reset1.css HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//css/base1.css HTTP/1.1" 200 2162
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//css/layout1.css HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//css/main1.css HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/header_logo_150_177.png HTTP/1.1" 200 23645
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/header_upper_77_17_join.png HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/header_upper_97_16_mypage.png HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/header_upper_58_17_event.png HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/header_upper_77_18_center.png HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/header_menu_126_27_tourInfo.png HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/header_menu_57_27_hotel.png HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/header_menu_85_26_planner.png HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/header_menu_87_27_flight.png HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/header_submenu_28_13_all.png HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/header_submenu_78_14_addMem.png HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/header_submenu_78_14_makePlan.png HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/header_submenu_93_14_sharePlan.png HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/header_submenu_93_14_chkPlan.png HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc/footer/footer_logo_100_127.png HTTP/1.1" 200 14092
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//header/sitemenu_901_71_bg.png HTTP/1.1" 200 39773
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//footer/footer_bg_img_1180_175.png HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//footer/footer_ribon_bg_img_901_20.png HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:39:58 +0900] "GET /_inc//footer/bg_guide_menu.png HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/Jun/2021:12:58:41 +0900] "GET /index.jsp HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [29/Jun/2021:15:38:22 +0900] "GET /food_list.food HTTP/1.1" 503 883
0:0:0:0:0:0:0:1 - - [29/Jun/2021:15:38:22 +0900] "GET /food_view.food?cpage=1&keyword=&id=F0011&ord=coded&psize=9 HTTP/1.1" 503 883
0:0:0:0:0:0:0:1 - - [29/Jun/2021:15:38:22 +0900] "GET /food_list.food HTTP/1.1" 503 883
0:0:0:0:0:0:0:1 - - [29/Jun/2021:15:38:22 +0900] "GET /food_list.food HTTP/1.1" 503 883
0:0:0:0:0:0:0:1 - - [29/Jun/2021:15:38:22 +0900] "GET /food_list.food HTTP/1.1" 503 883
0:0:0:0:0:0:0:1 - - [29/Jun/2021:15:38:22 +0900] "GET /food_list.food HTTP/1.1" 503 883
0:0:0:0:0:0:0:1 - - [29/Jun/2021:15:38:22 +0900] "GET /food_view.food?cpage=1&keyword=&id=F0011&ord=coded&psize=9 HTTP/1.1" 503 883
0:0:0:0:0:0:0:1 - - [29/Jun/2021:15:38:22 +0900] "GET /food_list.food HTTP/1.1" 503 883
